username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TheDailyShow,2018-05-06 15:00,30,94,". @ Antoinette_Rob discusses how the unapologetic view of racial identity in @ DearWhitePeople can help young black girls: https://on.cc.com/2JJ73bI pic.twitter.com/IaG2jQLDIl",,@ @,,"993203748104163329",https://twitter.com/TheDailyShow/status/993203748104163329
TheDailyShow,2018-05-06 13:00,340,827,"A school in San Antonio asks eighth graders to list the "pros and cons" of slavery: https://on.cc.com/2HREbxg pic.twitter.com/MzOq4Hk2Vh",,,,"993173551086682113",https://twitter.com/TheDailyShow/status/993173551086682113
TheDailyShow,2018-05-06 11:00,124,887,"Another Trump lawyer bites the dust: https://on.cc.com/2HQeSvM pic.twitter.com/JQhX2yJcJB",,,,"993143357575716864",https://twitter.com/TheDailyShow/status/993143357575716864
TheDailyShow,2018-05-06 09:00,221,851,". @ TheLewisBlack looks at the 2018 primary candidates and how they are appealing to the most ideologically extreme voters.pic.twitter.com/ujZhSzs1NN",,@,,"993113152836554754",https://twitter.com/TheDailyShow/status/993113152836554754
TheDailyShow,2018-05-05 19:00,110,706,". @ TheLewisBlack on congressional primary candidates who "tell it like it is." Full piece: https://on.cc.com/2rkQQlf pic.twitter.com/zMO96B61r7",,@,,"992901790134886400",https://twitter.com/TheDailyShow/status/992901790134886400
TheDailyShow,2018-05-05 17:00,189,521,"Former head of the CIA and NSA @ GenMhayden explains how Russia has targeted the U.S. by identifying weaknesses. Extended interview: https://on.cc.com/2HP9NDL pic.twitter.com/fSTha9L28U",,@,,"992871558635962368",https://twitter.com/TheDailyShow/status/992871558635962368
TheDailyShow,2018-05-05 15:00,321,2373,"Trevor can relate to Trump's sudden inclination to be honest. Full video: https://on.cc.com/2HMqALD pic.twitter.com/G50mtkOlSW",,,,"992841364760154112",https://twitter.com/TheDailyShow/status/992841364760154112
TheDailyShow,2018-05-05 11:00,674,2348,". @ davidblaine leaves Trevor speechless. # BetweenTheScenespic.twitter.com/FSe3C1LzpV",,@,#,"992780965964480513",https://twitter.com/TheDailyShow/status/992780965964480513
TheDailyShow,2018-05-05 09:00,102,426,". @ michaelkosta sits down with Gregory Watson, a man whose C-grade college essay led to the ratification of the U.S. Constitution's 27th Amendment.pic.twitter.com/HCdLMLdG5I",,@,,"992750762781327360",https://twitter.com/TheDailyShow/status/992750762781327360
TheDailyShow,2018-05-04 15:00,118,598,""Sex and the City ended 14 years ago, so get over it! And stop being such a Charlotte." @ TheLewisBlack weighs in on the Andrew Cuomo - Cynthia Nixon gubernatorial primary: https://on.cc.com/2rkQQlf pic.twitter.com/gVATgFAMyZ",,@,,"992478969650794496",https://twitter.com/TheDailyShow/status/992478969650794496
